"Geographic name","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011"
V3S,,105549,35958,33638
V3T,,33444,15001,13128
V3V,,46707,14803,13614
V3W,,89171,28027,26023
V3X,,21830,6832,6284
V3Y,,17982,7084,6787
V4A,,36012,15202,14732
V4B,,19339,10498,9866
V4C,,41812,13724,13123
V4E,,12120,3867,3841
V4G,,97,48,44
V4K,,24439,9343,9155
V4L,,7833,3543,3428
V4M,,14287,5576,5468
V4N,,68420,22826,21448
V4P,,12143,4945,4747
V4R,,13221,4531,4352
V4S,,6493,2373,2208
V4T,,25267,11506,10239
V4V,,13701,6561,5536
V4W,,19411,7404,6991
V4X,,10917,3770,3426
V4Z,,3924,1454,1309
V5A,,23803,9092,8620
V5B,,22312,8770,8332
V5C,,28373,12301,11587
V5E,,26291,10868,10280
V5G,,19205,7212,6938
V5H,,35943,16953,16058
V5J,,20331,7484,7129
V5K,,22545,8760,8098
V5L,,18454,10597,9524
V5M,,22729,8211,7706
V5N,,33157,14285,13293
V5P,,32082,10912,10084
V5R,,45899,17022,16063
V5S,,27736,9938,9646
V5T,,21905,12641,11991
V5V,,23132,9055,8461
V5W,,19219,7321,6750
V5X,,28509,9240,8525
V5Y,,13160,6644,5828
V5Z,,21413,10852,10286
V6A,,17674,8644,7957
V6B,,24814,16082,14244
V6C,,1995,1514,1061
V6E,,25385,17443,15828
V6G,,25427,18414,16767
V6H,,17046,10200,9692
V6J,,21206,12661,11874
V6K,,25556,14586,13670
V6L,,10833,3985,3746
V6M,,16853,7344,6889
V6N,,14290,5131,4777
V6P,,30879,12998,12450
V6R,,18891,8906,8099
V6S,,9854,3880,3479
V6T,,12056,5585,4691
V6V,,11210,3552,3446
V6W,,1174,458,417
V6X,,29146,11427,10578
V6Y,,44769,18869,17804
V6Z,,15979,10689,8850
V7A,,26346,8999,8669
V7B,,787,296,291
V7C,,39166,13823,13326
V7E,,37873,13746,13445
V7G,,11672,4450,4297
V7H,,12418,4551,4476
V7J,,15823,6073,5850
V7K,,12317,4451,4239
V7L,,24620,12247,11525
V7M,,18244,9842,9233
V7N,,14860,5725,5429
V7P,,11684,5252,5019
V7R,,14955,5299,5108
V7S,,10927,4352,3823
V7T,,9129,4166,3889
V7V,,14935,7162,6572
V7W,,8626,3429,3224
V7X,,5,1,1
V7Y,,0,3,1
V8A,,18021,9015,8122
V8B,,9400,4062,3748
V8C,,8335,4280,3630
V8G,,18793,8188,7489
V8J,,12620,5900,5030
V8K,,10237,5654,4663
V8L,,22800,10928,10003
V8M,,15515,6875,6546
V8N,,24192,11394,9305
V8P,,17612,8303,7638
V8R,,22945,11359,10575
V8S,,16710,8416,7832
V8T,,18975,10184,9295
V8V,,24260,16206,14609
V8W,,4516,3422,2783
V8X,,22240,10421,9853
V8Y,,9906,4199,3976
V8Z,,29370,12020,11475
V9A,,35689,19537,18027
V9B,,39182,16978,15771
V9C,,20069,7905,7439
V9E,,4965,2094,1964
V9G,,14037,6346,5930
V9H,,8302,3521,3324
V9J,,8537,3965,3445
V9K,,14922,8004,6907
V9L,,33894,14524,13769
V9M,,16707,7718,7354
V9N,,28608,13347,12767
V9P,,24175,12192,11165
V9R,,26084,12859,11581
V9S,,15728,8022,7484
V9T,,30415,13211,12609
V9V,,10534,4324,4139
V9W,,27970,12998,12174
V9X,,9751,3989,3797
V9Y,,25628,12287,11256
V9Z,,15614,7101,6225
X0A,,16939,5817,4886
X0B,,6012,1710,1541
X0C,,8955,2550,2234
X0E,,21194,9279,7394
X0G,,536,225,174
X1A,,19732,7671,7132
Y0A,,1758,1090,782
Y0B,,6538,4282,3028
Y1A,,25601,10887,10307

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2011","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"Incompletely enumerated Indian reserves and Indian settlements, 2006","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"2006 adjusted population flag","T = adjusted figure due to boundary change."
"2006 adjusted total private dwellings flag","T = adjusted figure due to boundary change."
"2006 adjusted private dwellings occupied by usual residents flag","T = adjusted figure due to boundary change."
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/hlt-fst/pd-pl/Notes-eng.cfm."

"Source: Statistics Canada, 2011 Census of Population."
"How to cite: Statistics Canada. 2012. Population and dwelling counts, for Canada and forward sortation areas as reported by the respondents, 2011 Census (table). Population and Dwelling Count Highlight Tables. 2011 Census."
"Statistics Canada Catalogue no. 98-310-XWE2011002. Released February 8, 2012."
"http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/hlt-fst/pd-pl/FullFile.cfm?T=1201&LANG=eng&OFT=CSV&OFN=98-310-XWE2011002-1201.CSV"
"©This data includes information copied with permission from Canada Post Corporation."
