"","FIRE_NAME","FIRE_DAY","FIRE_MONTH","FIRE_YEAR","DATA_SOURC","CAUSE","REPORTED_A","SIZE_CLASS","AGENCY","COMMENTS","IGNITION_D","CONT_DATE","REGION_NUM","FOREST_NUM","ICS_CODE","ACRES","HA","SIZE_CLASS_"
"901","SIMS GULCH",24,8,1916,"UNKNOWN",5,0,"D","USF","",19160824,19160000,5,10,"SRF",206.18,83.44,"100-299.9 acres"
"902","",27,8,1916,"UNKNOWN",1,0,"D","USF","",19160827,19160000,5,10,"SRF",165.76,67.08,"100-299.9 acres"
"903","TROUGH SPRINGS",0,0,1916,"UNKNOWN",2,0,"G","USF","",19160000,19160000,5,8,"MNF",6189.31,2504.72,"5000+ acres"
"904","THATCHER",1,6,1917,"UNKNOWN",9,0,"G","USF","",19170601,19170000,5,7,"LPF",29638.47,11994.26,"5000+ acres"
"905","",0,0,1917,"UNKNOWN",9,0,"G","USF","",19170000,19170000,5,7,"LPF",44009.37,17809.96,"5000+ acres"
"906","",0,0,1917,"UNKNOWN",9,0,"D","USF","",19170000,19170000,5,7,"LPF",99.77,40.38,"100-299.9 acres"
"907","",0,0,1917,"UNKNOWN",9,0,"C","USF","",19170000,19170000,5,7,"LPF",85.62,34.65,"10-99.9 acres"
"908","",0,0,1945,"UNKNOWN",9,0,"E","USF","",19450000,19450000,5,14,"SHF",416.26,168.45,"300-999.9 acres"
"909","",0,0,1945,"UNKNOWN",9,0,"C","USF","",19450000,19450000,5,14,"SHF",97.47,39.44,"10-99.9 acres"
"910","BLACK MT.",8,7,1945,"UNKNOWN",1,0,"E","USF","",19450708,19450000,5,9,"MDF",636.41,257.55,"300-999.9 acres"
"911","MUD LAKE",23,8,1945,"UNKNOWN",9,0,"B","USF","",19450823,19450000,5,9,"MDF",6.43,2.6,"0.26-9.9 acres"
"912","BARE CR.",3,10,1945,"UNKNOWN",9,0,"E","USF","",19451003,19450000,5,9,"MDF",309.55,125.27,"300-999.9 acres"
"913","BAKE OVEN",11,7,1945,"UNKNOWN",1,0,"C","USF","",19450711,19450000,5,14,"SRF",14.94,6.05,"10-99.9 acres"
"914","HORSE LINTO",9,7,1945,"UNKNOWN",1,0,"C","USF","",19450709,19450000,5,10,"SRF",74.68,30.22,"10-99.9 acres"
"915","CARRIE RIDGE",12,7,1945,"UNKNOWN",1,0,"B","USF","",19450712,19450000,5,14,"SRF",3.49,1.41,"0.26-9.9 acres"
